invoice_code,product_code,quantity,unit_price,line_total
HDIP00001,SP00103,3,515243,1545729
HDIP00001,SP00454,2,587502,1175004
HDIP00001,SP00407,3,204157,612471
HDIP00001,SP00396,10,94155,941550
HDIP00001,SP00113,9,180714,1626426
HDIP00002,SP00006,5,308302,1541510
HDIP00002,SP00428,6,504540,3027240
HDIP00002,SP00242,8,688257,5506056
HDIP00002,SP00239,5,293243,1466215
HDIP00002,SP00103,3,515243,1545729
HDIP00003,SP00431,10,624749,6247490
HDIP00004,SP00328,4,113091,452364
HDIP00004,SP00107,5,376160,1880800
HDIP00004,SP00029,2,781741,1563482
HDIP00004,SP00125,7,392597,2748179
HDIP00005,SP00157,4,232784,931136
HDIP00005,SP00421,3,893503,2680509
HDIP00005,SP00099,9,426341,3837069
HDIP00006,SP00498,3,170872,512616
HDIP00006,SP00318,8,672188,5377504
HDIP00006,SP00016,7,619646,4337522
HDIP00006,SP00371,2,104463,208926
HDIP00007,SP00381,4,230722,922888
HDIP00007,SP00343,7,929821,6508747
HDIP00007,SP00276,4,597450,2389800
HDIP00007,SP00433,10,41945,419450
HDIP00008,SP00452,3,472933,1418799
HDIP00008,SP00397,4,483703,1934812
HDIP00009,SP00152,3,598197,1794591
HDIP00010,SP00305,10,455927,4559270
HDIP00010,SP00422,10,294837,2948370
HDIP00010,SP00436,4,597101,2388404
HDIP00011,SP00252,2,88256,176512
HDIP00011,SP00430,3,293016,879048
HDIP00011,SP00063,7,470876,3296132
HDIP00012,SP00469,8,413093,3304744
HDIP00012,SP00451,10,50156,501560
HDIP00013,SP00296,2,289475,578950
HDIP00013,SP00432,8,475298,3802384
HDIP00014,SP00230,8,305877,2447016
HDIP00014,SP00146,8,176619,1412952
HDIP00015,SP00249,7,54314,380198
HDIP00015,SP00093,5,533545,2667725
HDIP00015,SP00443,4,444397,1777588
HDIP00015,SP00364,9,250075,2250675
HDIP00016,SP00350,5,400549,2002745
HDIP00016,SP00463,4,570598,2282392
HDIP00017,SP00051,3,706442,2119326
HDIP00017,SP00261,1,495274,495274
HDIP00017,SP00475,9,576672,5190048
HDIP00018,SP00353,3,24109,72327
HDIP00018,SP00014,2,412918,825836
HDIP00019,SP00316,2,501169,1002338
HDIP00019,SP00325,6,627483,3764898
HDIP00019,SP00498,4,170872,683488
HDIP00020,SP00428,3,504540,1513620
HDIP00020,SP00468,8,56135,449080
HDIP00020,SP00030,5,128609,643045
HDIP00020,SP00454,4,587502,2350008
HDIP00020,SP00493,4,579313,2317252
HDIP00021,SP00046,8,623924,4991392
HDIP00021,SP00183,4,680313,2721252
HDIP00021,SP00208,1,187393,187393
HDIP00021,SP00003,9,90309,812781
HDIP00021,SP00217,4,222499,889996
HDIP00022,SP00125,6,392597,2355582
HDIP00022,SP00031,6,579473,3476838
HDIP00023,SP00442,7,127378,891646
HDIP00023,SP00159,2,66845,133690
HDIP00023,SP00220,5,717584,3587920
HDIP00023,SP00481,9,495702,4461318
HDIP00023,SP00123,6,168111,1008666
HDIP00024,SP00450,9,488692,4398228
HDIP00024,SP00283,5,518599,2592995
HDIP00024,SP00070,4,110642,442568
HDIP00024,SP00339,8,543201,4345608
HDIP00025,SP00442,9,127378,1146402
HDIP00025,SP00325,5,627483,3137415
HDIP00025,SP00360,9,461949,4157541
HDIP00025,SP00087,8,276596,2212768
HDIP00025,SP00370,5,658411,3292055
HDIP00026,SP00291,7,744562,5211934
HDIP00026,SP00408,6,178582,1071492
HDIP00027,SP00142,6,103660,621960
HDIP00027,SP00259,9,376527,3388743
HDIP00028,SP00313,2,644192,1288384
HDIP00028,SP00408,9,178582,1607238
HDIP00028,SP00259,10,376527,3765270
HDIP00028,SP00355,9,394330,3548970
HDIP00029,SP00377,9,459637,4136733
HDIP00029,SP00334,1,81882,81882
HDIP00029,SP00044,7,722836,5059852
HDIP00030,SP00356,1,402907,402907
HDIP00031,SP00101,6,38490,230940
HDIP00031,SP00341,5,539286,2696430
HDIP00031,SP00063,4,470876,1883504
HDIP00031,SP00245,3,389276,1167828
HDIP00032,SP00469,3,413093,1239279
HDIP00032,SP00058,5,74120,370600
HDIP00033,SP00245,2,389276,778552
HDIP00033,SP00213,2,221555,443110
HDIP00033,SP00083,1,940817,940817
HDIP00034,SP00489,8,259079,2072632
HDIP00034,SP00404,6,69812,418872
