invoice_code,customer_code,employee_code,timestamp,total_amount,payment_method
HDIP00001,KH00738,NV0045,2026-02-23 02:27:40.057836,5901180,Chuyển khoản
HDIP00002,KH00170,NV0011,2026-02-22 23:35:40.057836,13086750,Tiền mặt
HDIP00003,KH00133,NV0009,2026-02-23 02:54:40.057836,6247490,Thẻ
HDIP00004,KH00313,NV0021,2026-02-23 06:40:40.057836,6644825,Tiền mặt
HDIP00005,KH00607,NV0030,2026-02-22 23:46:40.057836,7448714,Thẻ
HDIP00006,KH00099,NV0033,2026-02-23 00:55:40.057836,10436568,Thẻ
HDIP00007,KH00127,NV0027,2026-02-22 23:28:40.057836,10240885,Tiền mặt
HDIP00008,KH00571,NV0048,2026-02-23 09:32:40.057836,3353611,Thẻ
HDIP00009,KH00960,NV0047,2026-02-23 01:43:40.057836,1794591,Tiền mặt
HDIP00010,KH00813,NV0005,2026-02-23 08:47:40.057836,9896044,Tiền mặt
HDIP00011,KH00634,NV0016,2026-02-23 04:59:40.057836,4351692,Thẻ
HDIP00012,KH00638,NV0027,2026-02-23 10:15:40.057836,3806304,Tiền mặt
HDIP00013,KH00362,NV0046,2026-02-23 07:37:40.057836,4381334,Tiền mặt
HDIP00014,KH00910,NV0047,2026-02-23 10:46:40.057836,3859968,Thẻ
HDIP00015,KH00464,NV0044,2026-02-23 00:50:40.057836,7076186,Thẻ
HDIP00016,KH00539,NV0025,2026-02-23 04:37:40.057836,4285137,Thẻ
HDIP00017,KH00952,NV0020,2026-02-22 22:12:40.057836,7804648,Tiền mặt
HDIP00018,KH00136,NV0021,2026-02-23 11:00:40.057836,898163,Chuyển khoản
HDIP00019,KH00639,NV0022,2026-02-23 00:29:40.057836,5450724,Tiền mặt
HDIP00020,KH00178,NV0011,2026-02-23 02:58:40.057836,7273005,Chuyển khoản
HDIP00021,KH00370,NV0005,2026-02-23 07:50:40.057836,9602814,Tiền mặt
HDIP00022,KH00647,NV0047,2026-02-23 01:07:40.057836,5832420,Tiền mặt
HDIP00023,KH00563,NV0014,2026-02-23 06:09:40.057836,10083240,Chuyển khoản
HDIP00024,KH00422,NV0025,2026-02-23 05:28:40.057836,11779399,Tiền mặt
HDIP00025,KH00894,NV0030,2026-02-22 23:11:40.057836,13946181,Chuyển khoản
HDIP00026,KH00103,NV0049,2026-02-23 02:15:40.057836,6283426,Chuyển khoản
HDIP00027,KH00523,NV0042,2026-02-22 23:15:40.057836,4010703,Tiền mặt
HDIP00028,KH00234,NV0009,2026-02-23 00:04:40.057836,10209862,Thẻ
HDIP00029,KH00792,NV0029,2026-02-23 10:53:40.057836,9278467,Tiền mặt
HDIP00030,KH00996,NV0039,2026-02-23 09:44:40.057836,402907,Tiền mặt
HDIP00031,KH00819,NV0009,2026-02-23 07:29:40.057836,5978702,Thẻ
HDIP00032,KH00309,NV0010,2026-02-23 00:52:40.057836,1609879,Thẻ
HDIP00033,KH00881,NV0031,2026-02-23 08:04:40.057836,2162479,Tiền mặt
HDIP00034,KH00822,NV0021,2026-02-23 09:51:40.057836,2491504,Tiền mặt
HDIP00035,KH00149,NV0015,2026-02-22 22:30:40.057836,9585961,Thẻ
HDIP00036,KH00886,NV0007,2026-02-23 10:27:40.057836,26890675,Chuyển khoản
HDIP00037,KH00073,NV0030,2026-02-23 02:36:40.057836,1589428,Thẻ
HDIP00038,KH00271,NV0014,2026-02-23 04:20:40.057836,3650562,Tiền mặt
HDIP00039,KH00811,NV0008,2026-02-23 00:19:40.057836,180714,Tiền mặt
HDIP00040,KH00983,NV0012,2026-02-23 02:50:40.057836,10553601,Thẻ
HDIP00041,KH00657,NV0002,2026-02-23 02:27:40.057836,6242728,Chuyển khoản
HDIP00042,KH00950,NV0034,2026-02-23 07:03:40.057836,8517569,Chuyển khoản
HDIP00043,KH00287,NV0022,2026-02-23 02:48:40.057836,11946270,Thẻ
HDIP00044,KH00082,NV0042,2026-02-23 02:57:40.057836,837772,Chuyển khoản
HDIP00045,KH00191,NV0029,2026-02-23 00:04:40.057836,4312670,Tiền mặt
HDIP00046,KH00609,NV0040,2026-02-22 23:13:40.057836,11408351,Tiền mặt
HDIP00047,KH00958,NV0009,2026-02-23 05:20:40.057836,3200334,Tiền mặt
HDIP00048,KH00252,NV0024,2026-02-23 05:40:40.057836,2412212,Chuyển khoản
HDIP00049,KH00568,NV0035,2026-02-23 08:38:40.057836,155220,Thẻ
HDIP00050,KH00889,NV0004,2026-02-23 11:07:40.057836,8822063,Chuyển khoản
HDIP00051,KH00478,NV0040,2026-02-23 03:59:40.057836,13324685,Chuyển khoản
HDIP00052,KH00687,NV0028,2026-02-23 00:11:40.057836,4455217,Tiền mặt
HDIP00053,KH00811,NV0020,2026-02-23 03:24:40.057836,6023239,Chuyển khoản
HDIP00054,KH00842,NV0033,2026-02-23 10:51:40.057836,5635515,Tiền mặt
HDIP00055,KH00858,NV0036,2026-02-23 03:21:40.057836,17650543,Chuyển khoản
HDIP00056,KH00537,NV0003,2026-02-23 00:46:40.057836,10270312,Chuyển khoản
HDIP00057,KH00221,NV0013,2026-02-23 08:33:40.057836,4659268,Tiền mặt
HDIP00058,KH00154,NV0011,2026-02-23 02:27:40.057836,6962742,Tiền mặt
HDIP00059,KH00269,NV0026,2026-02-23 07:41:40.057836,7568265,Chuyển khoản
HDIP00060,KH00444,NV0037,2026-02-23 08:44:40.057836,15133841,Chuyển khoản
HDIP00061,KH00912,NV0049,2026-02-23 08:51:40.057836,588490,Tiền mặt
HDIP00062,KH00940,NV0034,2026-02-23 02:22:40.057836,5338875,Tiền mặt
HDIP00063,KH00075,NV0015,2026-02-23 10:50:40.057836,3101292,Thẻ
HDIP00064,KH00348,NV0007,2026-02-23 02:53:40.057836,15383089,Chuyển khoản
HDIP00065,KH00131,NV0046,2026-02-23 09:15:40.057836,9925254,Tiền mặt
HDIP00066,KH00083,NV0013,2026-02-23 01:00:40.057836,8083528,Tiền mặt
HDIP00067,KH00456,NV0024,2026-02-22 23:12:40.057836,5811175,Tiền mặt
HDIP00068,KH00633,NV0029,2026-02-23 05:20:40.057836,1912076,Chuyển khoản
HDIP00069,KH00325,NV0049,2026-02-23 04:22:40.057836,3756112,Thẻ
HDIP00070,KH00206,NV0003,2026-02-23 08:57:40.057836,12648773,Tiền mặt
HDIP00071,KH00088,NV0042,2026-02-23 10:58:40.057836,11394810,Chuyển khoản
HDIP00072,KH00557,NV0030,2026-02-23 00:27:40.057836,13710699,Tiền mặt
HDIP00073,KH00889,NV0023,2026-02-23 04:07:40.057836,2139529,Chuyển khoản
HDIP00074,KH00667,NV0027,2026-02-23 07:00:40.057836,8121759,Chuyển khoản
HDIP00075,KH00571,NV0048,2026-02-23 09:05:40.057836,10972680,Thẻ
HDIP00076,KH00906,NV0049,2026-02-23 02:41:40.057836,5143052,Thẻ
HDIP00077,KH00835,NV0020,2026-02-23 00:00:40.057836,4903091,Chuyển khoản
HDIP00078,KH00233,NV0029,2026-02-22 23:12:40.057836,19098144,Tiền mặt
HDIP00079,KH00804,NV0025,2026-02-23 08:35:40.057836,2365319,Chuyển khoản
HDIP00080,KH00107,NV0039,2026-02-23 10:53:40.057836,374778,Chuyển khoản
HDIP00081,KH00803,NV0016,2026-02-22 23:41:40.057836,14066716,Tiền mặt
HDIP00082,KH00681,NV0032,2026-02-23 08:14:40.057836,2939508,Tiền mặt
HDIP00083,KH00449,NV0023,2026-02-23 07:25:40.057836,7746636,Tiền mặt
HDIP00084,KH00460,NV0040,2026-02-23 07:45:40.057836,10770259,Chuyển khoản
HDIP00085,KH00075,NV0034,2026-02-24 11:10:40.057836,1689437,Thẻ
HDIP00086,KH00084,NV0037,2026-02-23 22:16:40.057836,1088872,Chuyển khoản
HDIP00087,KH00130,NV0037,2026-02-24 10:13:40.057836,1509891,Tiền mặt
HDIP00088,KH00400,NV0038,2026-02-24 06:16:40.057836,4179707,Tiền mặt
HDIP00089,KH00224,NV0006,2026-02-24 00:04:40.057836,13570390,Thẻ
HDIP00090,KH00113,NV0044,2026-02-24 01:04:40.057836,10080614,Tiền mặt
HDIP00091,KH00174,NV0008,2026-02-23 23:54:40.057836,17498741,Chuyển khoản
HDIP00092,KH00246,NV0013,2026-02-24 06:33:40.057836,6334227,Chuyển khoản
HDIP00093,KH00984,NV0002,2026-02-24 08:29:40.057836,1608801,Thẻ
HDIP00094,KH00645,NV0050,2026-02-23 23:36:40.057836,11550993,Chuyển khoản
HDIP00095,KH00526,NV0038,2026-02-23 23:16:40.057836,8242469,Thẻ
HDIP00096,KH00431,NV0001,2026-02-24 00:28:40.057836,19179703,Tiền mặt
HDIP00097,KH00528,NV0047,2026-02-24 03:19:40.057836,4225150,Tiền mặt
HDIP00098,KH00563,NV0028,2026-02-24 05:34:40.057836,3573544,Chuyển khoản
HDIP00099,KH00429,NV0033,2026-02-24 08:14:40.057836,3739420,Thẻ
HDIP00100,KH00888,NV0033,2026-02-23 23:09:40.057836,9587780,Tiền mặt
HDIP00101,KH00504,NV0018,2026-02-24 10:00:40.057836,1517052,Chuyển khoản
HDIP00102,KH00945,NV0010,2026-02-24 09:44:40.057836,289774,Thẻ
HDIP00103,KH00746,NV0021,2026-02-23 23:49:40.057836,11216641,Chuyển khoản
HDIP00104,KH00095,NV0006,2026-02-24 06:50:40.057836,11739630,Chuyển khoản
HDIP00105,KH00971,NV0007,2026-02-23 22:30:40.057836,5243434,Thẻ
HDIP00106,KH00519,NV0014,2026-02-24 00:42:40.057836,139624,Thẻ
HDIP00107,KH00173,NV0012,2026-02-24 02:56:40.057836,9876602,Thẻ
HDIP00108,KH00317,NV0029,2026-02-24 05:15:40.057836,6014360,Thẻ
HDIP00109,KH00981,NV0046,2026-02-24 04:37:40.057836,13829762,Thẻ
HDIP00110,KH00798,NV0049,2026-02-24 08:03:40.057836,706116,Chuyển khoản
HDIP00111,KH00250,NV0002,2026-02-23 22:40:40.057836,5985470,Chuyển khoản
HDIP00112,KH00050,NV0042,2026-02-24 09:43:40.057836,2500276,Thẻ
HDIP00113,KH00969,NV0019,2026-02-24 03:01:40.057836,10280640,Tiền mặt
HDIP00114,KH00769,NV0040,2026-02-24 08:09:40.057836,4583754,Thẻ
HDIP00115,KH00699,NV0026,2026-02-24 00:01:40.057836,8409767,Thẻ
HDIP00116,KH00701,NV0006,2026-02-24 04:59:40.057836,1608352,Thẻ
HDIP00117,KH00129,NV0022,2026-02-24 05:46:40.057836,3967124,Thẻ
HDIP00118,KH00489,NV0019,2026-02-24 06:00:40.057836,6616401,Tiền mặt
HDIP00119,KH00242,NV0041,2026-02-23 23:33:40.057836,3415919,Tiền mặt
HDIP00120,KH00962,NV0006,2026-02-24 08:22:40.057836,791484,Chuyển khoản
HDIP00121,KH00624,NV0008,2026-02-24 08:24:40.057836,12714610,Tiền mặt
HDIP00122,KH00946,NV0050,2026-02-24 00:31:40.057836,12760285,Tiền mặt
HDIP00123,KH00991,NV0044,2026-02-24 06:16:40.057836,9439032,Tiền mặt
HDIP00124,KH00704,NV0032,2026-02-24 09:28:40.057836,3554102,Tiền mặt
HDIP00125,KH00667,NV0046,2026-02-24 04:44:40.057836,6720625,Tiền mặt
HDIP00126,KH00096,NV0037,2026-02-24 05:22:40.057836,3644584,Tiền mặt
HDIP00127,KH00343,NV0002,2026-02-24 03:36:40.057836,6658283,Thẻ
HDIP00128,KH00776,NV0036,2026-02-24 04:24:40.057836,7131080,Thẻ
HDIP00129,KH00986,NV0035,2026-02-24 07:00:40.057836,7852545,Thẻ
HDIP00130,KH00592,NV0016,2026-02-24 04:36:40.057836,5833933,Tiền mặt
HDIP00131,KH00171,NV0031,2026-02-23 23:20:40.057836,3259206,Chuyển khoản
HDIP00132,KH00160,NV0018,2026-02-24 02:53:40.057836,7030578,Tiền mặt
HDIP00133,KH00566,NV0013,2026-02-24 10:32:40.057836,6085950,Chuyển khoản
HDIP00134,KH00763,NV0019,2026-02-24 04:53:40.057836,9946362,Tiền mặt
HDIP00135,KH00927,NV0043,2026-02-24 01:06:40.057836,9962142,Tiền mặt
HDIP00136,KH00040,NV0042,2026-02-24 03:15:40.057836,11198209,Tiền mặt
HDIP00137,KH00877,NV0039,2026-02-24 02:49:40.057836,5899962,Tiền mặt
HDIP00138,KH00036,NV0001,2026-02-24 07:28:40.057836,1628355,Chuyển khoản
HDIP00139,KH00163,NV0005,2026-02-24 00:06:40.057836,5828466,Chuyển khoản
HDIP00140,KH00946,NV0030,2026-02-24 06:34:40.057836,11571939,Tiền mặt
HDIP00141,KH00386,NV0014,2026-02-24 09:12:40.057836,12852420,Thẻ
HDIP00142,KH00189,NV0032,2026-02-24 04:29:40.057836,2240650,Chuyển khoản
HDIP00143,KH00929,NV0008,2026-02-24 03:20:40.057836,6464712,Chuyển khoản
HDIP00144,KH00442,NV0043,2026-02-24 07:03:40.057836,5219691,Tiền mặt
HDIP00145,KH00572,NV0013,2026-02-24 04:14:40.057836,1397192,Tiền mặt
HDIP00146,KH00033,NV0008,2026-02-24 01:50:40.057836,5817332,Tiền mặt
HDIP00147,KH00737,NV0031,2026-02-24 02:19:40.057836,9910465,Chuyển khoản
HDIP00148,KH00350,NV0046,2026-02-25 09:13:40.057836,6866464,Thẻ
HDIP00149,KH00909,NV0049,2026-02-25 06:26:40.057836,1432266,Thẻ
HDIP00150,KH00472,NV0026,2026-02-25 04:05:40.057836,12623914,Thẻ
HDIP00151,KH00042,NV0033,2026-02-25 10:14:40.057836,11350763,Chuyển khoản
HDIP00152,KH00265,NV0004,2026-02-25 04:39:40.057836,2860130,Tiền mặt
HDIP00153,KH00453,NV0023,2026-02-25 02:49:40.057836,4309632,Thẻ
HDIP00154,KH00124,NV0028,2026-02-25 01:16:40.057836,2308476,Tiền mặt
HDIP00155,KH00955,NV0039,2026-02-25 04:00:40.057836,10856098,Thẻ
HDIP00156,KH00996,NV0049,2026-02-25 05:53:40.057836,20817395,Tiền mặt
HDIP00157,KH00222,NV0007,2026-02-25 00:19:40.057836,2100558,Tiền mặt
HDIP00158,KH00243,NV0039,2026-02-25 01:39:40.057836,11724632,Thẻ
HDIP00159,KH00753,NV0030,2026-02-25 03:48:40.057836,10327257,Thẻ
HDIP00160,KH00285,NV0007,2026-02-25 03:21:40.057836,1657901,Tiền mặt
HDIP00161,KH00642,NV0031,2026-02-25 02:31:40.057836,10552572,Thẻ
HDIP00162,KH00210,NV0025,2026-02-25 10:44:40.057836,17460170,Tiền mặt
HDIP00163,KH00654,NV0010,2026-02-25 03:44:40.057836,8152494,Chuyển khoản
HDIP00164,KH00851,NV0020,2026-02-24 23:47:40.057836,644192,Thẻ
HDIP00165,KH00552,NV0001,2026-02-25 07:04:40.057836,5418935,Chuyển khoản
HDIP00166,KH00574,NV0043,2026-02-25 00:57:40.057836,11102354,Chuyển khoản
HDIP00167,KH00596,NV0006,2026-02-25 04:37:40.057836,7264605,Thẻ
HDIP00168,KH00443,NV0042,2026-02-25 09:59:40.057836,13213042,Tiền mặt
HDIP00169,KH00947,NV0028,2026-02-24 22:57:40.057836,9730295,Chuyển khoản
